"Genus","Cost.USD","Time.since.introduction"
"Aedes",476681222.986407,0
"Aedes",876953626.544052,1
"Aedes",1277394402.41732,2
"Aedes",2882589496.57929,3
"Aedes",4473122929.39327,4
"Aedes",6293809954.55527,5
"Aedes",8023367302.70284,6
"Aedes",9602168225.49624,7
"Aedes",11304774612.8741,8
"Aedes",12948116824.3687,9
"Aedes",13229937803.6191,10
"Aedes",13511758782.8695,11
"Aedes",13793579762.1199,12
"Aedes",13839677065.085,13
"Aedes",13871235608.4685,14
"Aedes",13883949390.9596,15
"Aedes",13900357239.7831,16
"Aedes",13928934119.947,17
"Aedes",13939841098.4603,18
"Aedes",14102272991.7776,19
"Aedes",14690055042.031,20
"Aedes",15510404420.9477,21
"Aedes",16095209537.0713,22
"Aedes",16680014653.195,23
"Aedes",17264819769.3187,24
"Aedes",17611349583.0542,25
"Aedes",17957879396.7897,26
"Aedes",18304409210.5253,27
"Aedes",18650939024.2608,28
"Aedes",18997468837.9963,29
"Aedes",19038828525.5534,30
"Aedes",19080188213.1104,31
"Aedes",19121547900.6675,32
"Aedes",19162907588.2245,33
"Aedes",19172794333.2245,36
"Aedes",19434837892.3205,39
"Ambrosia",1391193615.31397,0
"Ambrosia",1393937110.28594,1
"Ambrosia",1420936764.64017,5
"Ambrosia",1523323094.35425,8
"Ambrosia",1830178716.59363,10
"Ambrosia",1928317909.66772,23
"Ambrosia",1929834744.182,46
"Ambrosia",1957137765.43909,61
"Ambrosia",2107759432.70736,62
"Ambrosia",3025444313.84836,89
"Ambrosia",3425281891.81327,91
"Ambrosia",3439691819.69895,95
"Ambrosia",3439843503.15038,96
"Ambrosia",4950155629.02161,97
"Ambrosia",6115539586.34497,101
"Ambrosia",6247959239.44185,128
"Ambrosia",6272683642.02466,138
"Ambrosia",6362099167.04963,147
"Ambrosia",6738577493.49459,148
"Ambrosia",6784442549.25929,154
"Ambrosia",6787491313.52351,262
"Ambrosia",6789159831.48922,267
"Ambrosia",6789311514.94065,311
"Callosciurus",22781.9795153734,66
"Callosciurus",56431.9973537165,67
"Callosciurus",78793.4676702985,68
"Callosciurus",90286.8996639108,69
"Callosciurus",113062.557696151,70
"Callosciurus",282209.649068732,71
"Callosciurus",488818.614660671,72
"Callosciurus",615145.24315218,73
"Callosciurus",778919.534984919,74
"Callosciurus",953441.174445304,75
"Callosciurus",1153166.99563558,76
"Callosciurus",1369718.65372374,77
"Callosciurus",1506506.18025869,78
"Callosciurus",1608270.22699131,79
"Callosciurus",1769435.59122928,80
"Callosciurus",1909512.43948032,81
"Callosciurus",1964893.41721915,82
"Callosciurus",1982724.10998177,83
"Procyon",2154.8053944961,33
"Procyon",100420.880826977,34
"Procyon",416395.811873084,35
"Procyon",636259.472881205,36
"Procyon",1111778.19629133,38
"Procyon",1997372.55097817,39
"Procyon",3255155.17144653,40
"Procyon",5010843.28813353,41
"Procyon",7466131.97702308,42
"Procyon",10778553.0359159,43
"Procyon",14258303.3239728,44
"Procyon",18091293.3320457,45
"Procyon",22368557.0267306,46
"Procyon",27934238.7002009,47
"Procyon",35848747.9367308,48
"Procyon",45586111.7008051,49
"Procyon",55271385.9239204,50
"Procyon",63381899.0021554,51
"Procyon",70300990.1680675,52
"Procyon",76504311.568894,53
"Procyon",82597630.3207737,54
"Procyon",88667172.525464,55
"Procyon",91582490.792153,56
